candidate,grid_row,grid_column,x_m,y_m,map_clearance_m
1,9,16,0.349,-12.972,0.400
2,9,17,1.240,-13.426,0.400
3,9,18,2.131,-13.880,0.380
4,9,19,3.022,-14.334,0.380
5,9,23,6.586,-16.150,0.360
6,10,17,1.694,-12.535,0.460
7,10,18,2.585,-12.989,1.318
8,10,19,3.476,-13.443,1.270
9,10,20,4.367,-13.897,1.148
10,10,21,5.258,-14.351,1.308
11,10,22,6.149,-14.805,1.258
12,10,23,7.040,-15.259,0.960
13,10,24,7.931,-15.713,0.759
14,10,25,8.822,-16.167,0.819
15,10,26,9.713,-16.621,0.709
16,11,17,2.148,-11.644,0.460
17,11,18,3.039,-12.098,0.929
18,11,19,3.930,-12.552,1.060
19,11,20,4.821,-13.006,1.638
20,11,21,5.712,-13.460,1.760
21,11,22,6.603,-13.914,1.019
22,11,23,7.494,-14.368,0.819
23,11,24,8.385,-14.822,0.910
24,11,25,9.276,-15.276,1.238
25,11,26,10.167,-15.730,0.799
26,12,20,5.275,-12.115,1.278
27,12,21,6.166,-12.569,1.478
28,12,22,7.057,-13.023,0.489
29,13,20,5.729,-11.224,1.278
30,13,21,6.620,-11.678,1.620
31,13,22,7.511,-12.132,0.789
32,13,23,8.402,-12.586,0.509
33,13,24,9.293,-13.040,0.439
34,13,25,10.184,-13.494,0.430
35,13,26,11.075,-13.948,0.430
36,13,27,11.966,-14.402,0.430
37,14,19,5.292,-9.879,0.380
38,14,20,6.183,-10.333,1.319
39,14,21,7.074,-10.787,2.178
40,14,22,7.965,-11.241,1.428
41,14,23,8.856,-11.695,0.439
42,14,25,10.638,-12.603,0.780
43,14,26,11.529,-13.057,0.770
44,15,20,6.637,-9.442,1.318
45,15,21,7.528,-9.896,2.307
46,15,22,8.419,-10.350,1.559
47,15,23,9.310,-10.804,0.620
48,15,24,10.201,-11.258,0.400
49,15,25,11.092,-11.712,0.360
50,15,26,11.983,-12.166,0.380
51,15,27,12.874,-12.620,0.390
52,15,28,13.765,-13.074,0.380
53,16,19,6.200,-8.097,0.400
54,16,20,7.091,-8.551,1.379
55,16,21,7.982,-9.005,2.367
56,16,22,8.873,-9.459,1.458
57,16,23,9.764,-9.913,0.470
58,17,19,6.654,-7.206,0.360
59,17,20,7.545,-7.660,1.348
60,17,21,8.436,-8.114,2.337
61,17,22,9.327,-8.568,1.458
62,17,23,10.218,-9.022,0.470
63,18,19,7.108,-6.315,0.430
64,18,20,7.999,-6.769,1.368
65,18,21,8.890,-7.223,2.357
66,18,22,9.781,-7.677,1.728
67,18,23,10.672,-8.131,1.010
68,18,24,11.563,-8.585,0.969
69,18,25,12.454,-9.039,0.600
70,19,19,7.562,-5.424,0.439
71,19,20,8.453,-5.878,1.388
72,19,21,9.344,-6.332,2.377
73,19,22,10.235,-6.786,2.448
74,19,23,11.126,-7.240,1.919
75,19,24,12.017,-7.694,1.738
76,19,25,12.908,-8.148,0.749
77,20,9,-0.894,0.007,0.650
78,20,10,-0.003,-0.447,0.509
79,20,11,0.888,-0.901,0.509
80,20,12,1.779,-1.355,0.489
81,20,13,2.670,-1.809,0.509
82,20,14,3.561,-2.263,0.489
83,20,15,4.452,-2.717,0.470
84,20,16,5.343,-3.171,0.439
85,20,17,6.234,-3.625,0.430
86,20,18,7.125,-4.079,0.430
87,20,19,8.016,-4.533,0.680
88,20,20,8.907,-4.987,1.589
89,20,21,9.798,-5.441,2.199
90,20,22,10.689,-5.895,2.078
91,20,23,11.580,-6.349,1.749
92,20,24,12.471,-6.803,1.778
93,20,25,13.362,-7.257,0.789
94,21,10,0.451,0.444,0.400
95,21,11,1.342,-0.010,1.160
