waypoint,order,source_candidate,grid_row,grid_column,x_m,y_m,yaw_rad,map_clearance_m
w1,1,1,9,16,0.349,-12.972,-0.471250,0.400
w2,2,2,9,17,1.240,-13.426,-0.471250,0.400
w3,3,3,9,18,2.131,-13.880,-0.471250,0.380
w4,4,4,9,19,3.022,-14.334,-0.471250,0.380
w5,5,5,9,23,6.586,-16.150,-0.149500,0.360
w6,6,15,10,26,9.713,-16.621,2.670342,0.709
w7,7,14,10,25,8.822,-16.167,2.670342,0.819
w8,8,13,10,24,7.931,-15.713,2.670342,0.759
w9,9,12,10,23,7.040,-15.259,2.670342,0.960
w10,10,11,10,22,6.149,-14.805,2.670342,1.258
w11,11,10,10,21,5.258,-14.351,2.670342,1.308
w12,12,9,10,20,4.367,-13.897,2.670342,1.148
w13,13,8,10,19,3.476,-13.443,2.670342,1.270
w14,14,7,10,18,2.585,-12.989,2.670342,1.318
w15,15,6,10,17,1.694,-12.535,1.099546,0.460
w16,16,16,11,17,2.148,-11.644,-0.471250,0.460
w17,17,17,11,18,3.039,-12.098,-0.471250,0.929
w18,18,18,11,19,3.930,-12.552,-0.471250,1.060
w19,19,19,11,20,4.821,-13.006,-0.471250,1.638
w20,20,20,11,21,5.712,-13.460,-0.471250,1.760
w21,21,21,11,22,6.603,-13.914,-0.471250,1.019
w22,22,22,11,23,7.494,-14.368,-0.471250,0.819
w23,23,23,11,24,8.385,-14.822,-0.471250,0.910
w24,24,24,11,25,9.276,-15.276,-0.471250,1.238
w25,25,25,11,26,10.167,-15.730,2.425364,0.799
w26,26,28,12,22,7.057,-13.023,2.670342,0.489
w27,27,27,12,21,6.166,-12.569,2.670342,1.478
w28,28,26,12,20,5.275,-12.115,1.099546,1.278
w29,29,29,13,20,5.729,-11.224,-0.471250,1.278
w30,30,30,13,21,6.620,-11.678,-0.471250,1.620
w31,31,31,13,22,7.511,-12.132,-0.471250,0.789
w32,32,32,13,23,8.402,-12.586,-0.471250,0.509
w33,33,33,13,24,9.293,-13.040,-0.471250,0.439
w34,34,34,13,25,10.184,-13.494,-0.471250,0.430
w35,35,35,13,26,11.075,-13.948,-0.471250,0.430
w36,36,36,13,27,11.966,-14.402,1.884944,0.430
w37,37,43,14,26,11.529,-13.057,2.670342,0.770
w38,38,42,14,25,10.638,-12.603,2.670342,0.780
w39,39,41,14,23,8.856,-11.695,2.670342,0.439
w40,40,40,14,22,7.965,-11.241,2.670342,1.428
w41,41,39,14,21,7.074,-10.787,2.670342,2.178
w42,42,38,14,20,6.183,-10.333,2.670342,1.319
w43,43,37,14,19,5.292,-9.879,0.314148,0.380
w44,44,44,15,20,6.637,-9.442,-0.471250,1.318
w45,45,45,15,21,7.528,-9.896,-0.471250,2.307
w46,46,46,15,22,8.419,-10.350,-0.471250,1.559
w47,47,47,15,23,9.310,-10.804,-0.471250,0.620
w48,48,48,15,24,10.201,-11.258,-0.471250,0.400
w49,49,49,15,25,11.092,-11.712,-0.471250,0.360
w50,50,50,15,26,11.983,-12.166,-0.471250,0.380
w51,51,51,15,27,12.874,-12.620,-0.471250,0.390
w52,52,52,15,28,13.765,-13.074,2.472947,0.380
w53,53,57,16,23,9.764,-9.913,2.670342,0.470
w54,54,56,16,22,8.873,-9.459,2.670342,1.458
w55,55,55,16,21,7.982,-9.005,2.670342,2.367
w56,56,54,16,20,7.091,-8.551,2.670342,1.379
